: 0.000535
Epoch 1176, Average Meta Loss: 0.5112, Average AUC: 0.7684, LR: 0.000524
Epoch 1492, Average Meta Loss: 0.6016, Average AUC: 0.6880, LR: 0.009276
Epoch 1493, Average Meta Loss: 0.5119, Average AUC: 0.7495, LR: 0.009270
Epoch 1494, Average Meta Loss: 0.5398, Average AUC: 0.7318, LR: 0.009263
Epoch 1495, Average Meta Loss: 0.5752, Average AUC: 0.7340, LR: 0.009257
Epoch 1496, Average Meta Loss: 0.5754, Average AUC: 0.7252, LR: 0.009250
Epoch 1497, Average Meta Loss: 0.5595, Average AUC: 0.7196, LR: 0.009244
Epoch 1498, Average Meta Loss: 0.5455, Average AUC: 0.7169, LR: 0.009237
Epoch 1499, Average Meta Loss: 0.5726, Average AUC: 0.7030, LR: 0.009231
Epoch 1500, Average Meta Loss: 0.5564, Average AUC: 0.7756, LR: 0.009224
训练完成，加载最佳模型

=== 元学习评估开始 ===

=== 元学习测试开始 ===


=== 最终测试结果 ===
pep_hla_label: Precision: 0.5112, Recall: 0.3579, ACC: 0.5078, AUC: 0.5088, AUPR: 0.5097, F1: 0.4210
pep_tcr_label: Precision: 0.8009, Recall: 0.7724, ACC: 0.7903, AUC: 0.8668, AUPR: 0.8549, F1: 0.7864
tcr_pep_hla_label: Precision: 0.7540, Recall: 0.8859, ACC: 0.7986, AUC: 0.8497, AUPR: 0.7892, F1: 0.8146
